1.Error_(m) 2.X_error 3.Y_error 4.Z_error 5.Error_(deg) 6.Yaw_error 7.Pitch_error 8.Roll_error
5.256485 0.879621 3.968462 2.884439 5.744635 -5.675775 -0.544977 -0.204972
4.606118 0.857408 3.719729 2.096320 6.955296 -6.902483 -0.437761 -0.096258
4.245561 0.683701 3.538604 1.870316 6.999634 -6.936330 -0.617023 -0.103119
3.789904 0.873060 3.413827 0.874812 6.629844 -6.572259 -0.575043 -0.034553
3.514737 0.583777 3.371298 0.268042 6.516220 -6.456585 -0.605582 -0.149716
3.256798 0.675130 3.168049 -0.008847 6.548287 -6.500641 -0.516182 -0.040156
3.010083 0.423085 2.942778 -0.295417 6.533543 -6.488188 -0.516999 -0.041797
3.175282 0.379099 2.917926 -1.032154 6.391350 -6.343524 -0.566855 -0.069779
2.872995 0.475572 2.515406 -1.072531 6.324103 -6.279198 -0.547294 -0.121432
3.122704 0.080831 2.423173 -1.839070 6.338855 -6.305369 -0.460764 -0.051693
3.233548 -0.023696 2.514672 -1.867164 6.319302 -6.285120 -0.520265 -0.001265
3.062849 0.207911 2.086672 -2.113104 6.371181 -6.342484 -0.480858 -0.020146
3.014053 0.038453 1.860585 -2.286990 6.313385 -6.288828 -0.424419 -0.097072
3.276936 -0.036296 1.954908 -2.549984 6.254360 -6.231404 -0.441805 -0.061459
3.187147 0.049388 1.716258 -2.638912 6.194660 -6.173872 -0.384082 -0.130548
3.362606 -0.205364 1.718287 -2.843228 6.163136 -6.138360 -0.449781 -0.091268
3.132261 0.035827 1.413654 -2.769193 6.026065 -5.994929 -0.483390 -0.169997
2.940401 -0.099531 1.364727 -2.581898 5.954287 -5.932265 -0.341305 -0.074398
2.622014 -0.316534 1.428271 -2.137539 5.980915 -5.953099 -0.401069 -0.090925
2.274325 -0.186313 1.188671 -1.896683 5.970762 -5.943646 -0.363637 -0.081903
1.763258 -0.259509 0.846182 -1.510032 6.002324 -5.970858 -0.383795 -0.045502
1.468240 -0.567088 0.751393 -1.117930 6.065532 -6.027063 -0.423197 -0.071361
1.307663 -0.570332 0.717006 -0.927954 5.905579 -5.869934 -0.330105 -0.123799
0.989816 -0.682834 0.468790 -0.494551 6.129224 -6.090562 -0.309571 -0.175857
0.888460 -0.719591 0.339288 0.197015 6.201015 -6.163455 -0.258269 -0.159359
1.437113 -1.075884 0.191565 0.781787 6.339320 -6.301151 -0.157650 -0.205948
2.006643 -1.066255 -0.045595 1.637308 6.449477 -6.403231 -0.316578 -0.110486
2.256569 -1.106871 -0.136668 1.888155 6.637763 -6.591738 -0.252519 -0.119597
3.357723 -1.170259 -0.491505 3.049869 6.759780 -6.706920 -0.313207 -0.178596
3.957713 -1.261005 -0.683511 3.611665 6.604508 -6.554491 -0.214659 -0.099089
4.572194 -1.649103 -0.648576 4.117448 6.487029 -6.430154 -0.281718 -0.075521
6.204030 -1.470385 -3.628084 4.573197 6.154275 6.064996 -0.628725 -0.402654
5.427008 -0.571846 -3.417006 3.980710 6.699389 6.606106 -0.772147 -0.334270
4.684539 -0.698917 -3.236054 3.071722 6.732751 6.651240 -0.715606 -0.259642
3.926097 -0.559151 -3.046074 2.183404 6.606945 6.534259 -0.664048 -0.232273
3.431582 -0.385717 -2.889045 1.595385 6.477288 6.416040 -0.585363 -0.155962
2.980254 -0.300459 -2.807707 0.713636 6.402603 6.341939 -0.605616 -0.098947
2.747037 -0.040401 -2.687624 0.324782 6.307655 6.246115 -0.633247 -0.139569
2.554536 -0.198268 -2.487836 -0.420105 6.406789 6.371750 -0.333165 -0.025726
2.221769 -0.285330 -2.062832 -0.598965 6.504409 6.452692 -0.591848 -0.145921
2.540320 0.145685 -2.072744 -1.399780 6.686819 6.640738 -0.579420 -0.105108
2.632508 0.250028 -1.934716 -1.716119 6.595595 6.553991 -0.546260 -0.143842
2.510939 0.231744 -1.653244 -1.835128 6.502656 6.460267 -0.568225 -0.183402
2.624799 0.415966 -1.596873 -2.008440 6.420908 6.388673 -0.511042 -0.063986
2.702351 0.563440 -1.384925 -2.219754 6.403584 6.373764 -0.498550 -0.108210
2.995143 0.721599 -1.408932 -2.519878 6.413599 6.384889 -0.521706 -0.099583
3.133628 0.470215 -1.158075 -2.865630 6.354872 6.333082 -0.421347 -0.167836
3.019312 0.828954 -1.084848 -2.683628 6.332169 6.314409 -0.396743 -0.132058
2.991868 0.705905 -0.872449 -2.765512 6.274687 6.254129 -0.411235 -0.160595
2.676238 0.906627 -0.764088 -2.381797 6.289556 6.268125 -0.405639 -0.106004
2.579342 1.131420 -0.570564 -2.210164 6.269794 6.241026 -0.471950 -0.091377
2.337055 0.848171 -0.131771 -2.151377 6.451851 6.423785 -0.424618 -0.059753
2.081649 0.949234 -0.050556 -1.813276 6.689567 6.663175 -0.350687 -0.038084
2.054938 1.320205 -0.223871 -1.489621 6.761905 6.730076 -0.357506 -0.083007
1.607542 1.149236 -0.090545 -1.036297 6.780009 6.741850 -0.430005 -0.085445
1.620982 1.328790 0.185035 -0.754645 6.821126 6.786412 -0.299477 -0.129169
1.294501 0.920002 0.462827 -0.473708 6.976957 6.939961 -0.312527 -0.100198
1.698822 1.433307 0.427597 -0.152227 7.038888 6.996522 -0.346063 -0.037765
1.696186 1.235013 0.654017 0.440148 7.038844 6.990971 -0.391449 -0.068964
2.311196 1.504548 0.597488 1.415145 6.974994 6.930131 -0.248171 -0.116502
2.824321 1.280518 1.036714 2.070819 6.918035 6.870662 -0.280910 -0.027081
3.433635 1.547641 1.072666 2.643523 6.862433 6.808778 -0.318143 -0.113157
4.631471 -0.403502 -1.366759 4.374699 2.891009 2.747778 -0.507987 -0.453063
4.225452 0.179970 1.290542 3.989025 6.241347 -6.180422 -0.462637 0.089509
3.623593 0.097708 1.158531 3.399974 7.673766 -7.597115 -0.629271 0.406402
2.584810 0.076383 1.073837 2.313483 7.471446 -7.404150 -0.583620 0.334878
2.323259 0.189950 0.804586 2.158544 7.096095 -7.024671 -0.649909 0.322694
1.832850 0.021139 0.639464 1.714201 7.001938 -6.940380 -0.606710 0.213527
1.329654 -0.100812 0.606738 1.172815 6.987445 -6.931270 -0.595196 0.143712
