X(m) Y(m) X_Ratio Y_Ratio Z_Ratio
543704.229490 2331410.394290 2.695868 3.026675 3.737219
543984.689450 2332231.592040 2.390828 2.775674 6.233430
543772.100830 2331744.171510 2.122996 3.077862 4.825327
543892.802490 2332087.130250 2.454600 2.987912 6.007446
543604.622800 2331491.654720 4.208848 3.263305 5.619614
543911.624270 2332285.863530 3.496541 2.632604 7.732427
543629.116940 2331590.354000 4.596032 3.225750 5.826423
543631.072510 2331597.964660 2.321445 3.211295 5.847994
543884.800290 2332247.944340 2.368938 3.254234 7.689738
543386.112550 2330973.925050 4.424472 3.489695 6.889436
543597.500980 2331559.178340 3.938772 3.316908 6.106895
543337.800540 2331090.109830 4.177606 3.612963 8.004014
543764.550050 2332327.456790 2.380644 2.920132 10.133608
543528.597170 2331734.414920 2.442218 3.485135 8.304853
543504.651610 2331707.177370 3.786331 3.552276 8.478206
543137.641110 2330996.182370 3.377177 3.972334 11.073547
543179.738530 2331111.618590 4.589306 3.956394 10.707613
543465.247560 2331959.440920 4.117554 3.788618 11.036881
543103.260990 2331040.387660 3.666072 4.043503 11.801417
543517.247560 2332164.874760 3.899040 3.578827 12.100513
543250.958500 2331719.899290 3.882302 4.153209 12.655089
543194.186520 2331735.395020 3.570785 4.285647 13.731205
543182.652340 2331979.847660 3.775586 4.383209 15.808327
542953.845950 2331402.953060 4.722741 4.567107 15.848685
542998.655760 2331531.036990 3.989387 4.599678 15.768607
542928.591060 2331370.407590 4.404994 4.584623 16.130169
542858.422610 2331196.860600 4.846354 4.567782 16.603331
543318.986820 2332381.582760 4.035359 3.830795 17.394796
542879.727050 2331264.313600 4.859449 4.575960 16.493554
542872.396000 2331253.252810 3.298875 4.669937 16.596885
542862.521730 2331256.169190 3.189910 4.674855 16.745484
543304.383540 2332382.182740 2.888381 3.905772 17.634729
542746.171140 2331204.885310 4.948482 4.848098 18.663014
542736.228030 2331240.428530 5.258340 4.898853 19.005532
542924.183590 2331753.666500 4.363793 4.973365 18.518643
542904.672360 2331741.448240 4.513737 5.014269 18.769159
542678.238530 2331194.395450 5.031996 5.033735 19.919466
543964.600590 2332031.594360 2.775936 2.643530 4.583136
543722.609130 2331432.672910 3.551014 3.019276 3.624156
543957.236570 2332044.920170 3.657640 3.070690 4.793377
543702.208500 2331403.735170 2.794910 3.052007 3.757477
543679.957760 2331359.899840 2.898676 3.025293 3.831388
544029.622800 2332243.182740 3.688093 2.297978 5.805777
544024.532710 2332244.198610 4.134025 3.147306 5.887934
543943.106690 2332050.508790 2.405720 2.920333 5.022332
543941.391110 2332049.198610 2.454585 2.908720 5.031680
543508.375980 2330924.050690 4.435127 3.284471 4.889620
543751.370120 2331582.780090 4.234113 2.927872 4.050364
543505.298830 2330923.100860 3.953658 3.198051 4.931413
543871.031250 2331889.669800 4.031128 3.024933 4.592522
543806.738770 2331756.788450 4.478864 2.757076 4.441140
543574.913570 2331155.974490 4.698826 3.148517 4.525493
543589.851560 2331201.268130 3.057519 3.132105 4.462803
543866.321780 2331917.009890 1.935600 2.953994 4.868666
543567.916020 2331187.038390 4.401531 3.224119 4.732127
543497.452880 2331009.499390 3.180636 3.219593 5.244668
543484.955320 2331009.609440 3.215672 3.328242 5.435798
543764.994140 2331788.199950 4.192222 2.897609 5.238588
543881.024660 2332103.233280 3.417972 3.170465 6.300819
543799.645020 2331910.150510 2.886364 2.757040 5.707821
543853.355960 2332049.441770 2.348147 3.072009 6.175622
543737.454100 2331757.462770 2.245661 2.922317 5.402366
543427.817380 2330946.855710 3.493194 3.317425 6.174624
543710.640870 2331704.037350 2.320187 3.013659 5.400619
543440.048100 2330989.382140 4.105493 3.404524 6.078215
543954.782230 2332340.282840 4.189353 3.181282 7.739407
543740.345210 2331816.870120 2.073296 2.926055 5.796158
543959.631350 2332388.344730 2.733235 3.212890 8.195784
543633.385500 2331586.221560 2.426055 3.245723 5.736133
543386.006840 2330929.171050 3.583700 3.562586 6.772620
543389.921390 2330945.519900 4.555444 3.487073 6.767242
543718.060300 2331835.690430 2.075531 3.197935 6.257310
543550.104490 2331405.254150 2.999288 3.396603 5.955962
543402.926510 2331040.803560 3.886968 3.480315 6.800140
543389.589600 2331005.384400 3.760620 3.493815 6.917205
543386.745610 2330998.523440 4.812378 3.497163 6.950530
543382.418460 2331000.697200 4.555384 3.489533 7.021335
543463.042240 2331229.790530 4.567562 3.450564 6.503780
543487.716550 2331309.750240 3.514891 3.437530 6.457314
543628.135250 2331740.556760 2.480527 3.189459 6.848334
543617.061040 2331731.089480 2.398967 3.237298 6.947171
543393.725340 2331160.141540 3.536800 3.539027 7.341660
543387.443360 2331157.906070 3.405187 3.554490 7.432568
543433.781010 2331313.806400 4.354728 3.554091 7.322270
543401.305660 2331227.738950 3.542103 3.554030 7.470650
543429.729250 2331317.861940 3.197145 3.605709 7.406457
543631.531010 2331841.319090 3.780200 3.331789 7.554972
543555.485350 2331646.895630 3.414805 3.453538 7.296178
543520.926510 2331571.994140 2.900914 3.469628 7.351292
543287.473390 2330961.432430 4.266782 3.639239 8.480119
543495.150390 2331516.429690 3.511658 3.547047 7.422940
543293.353270 2330983.790590 4.102754 3.651923 8.431960
543339.729490 2331119.502260 3.844177 3.610145 8.077049
543425.234620 2331348.015930 3.722038 3.577955 7.618120
543424.671140 2331354.243230 4.039510 3.581046 7.651584
543696.472900 2332089.774780 2.105180 2.979634 8.724921
543282.808350 2331022.533870 4.038574 3.679225 8.715208
543746.862060 2332219.890500 3.859111 3.319118 9.266663
543307.717040 2331113.127870 4.100743 3.675049 8.575271
